varmegye_kod,varmegye,oevk,telepules_kod,telepules,tevk,szavazokor,szavazokor_cim,iranyitoszam,pir,kijelolt,akadalymentes,szavazokor_id,oevk_id
04,BÉKÉS,04,047,Medgyesbodzás,,002,Vasút u. 25.,5664,5664,N,I,04-047-002,04-04
04,BÉKÉS,04,048,Medgyesegyháza,,001,Dózsa utca 26. (Haladás Plus Kft. Étterem),5666,5666,N,N,04-048-001,04-04
04,BÉKÉS,04,048,Medgyesegyháza,,002,Kossuth tér 14. (Művelődési Ház),5666,5666,N,I,04-048-002,04-04
04,BÉKÉS,04,048,Medgyesegyháza,,003,Kossuth tér 23. (Civilek háza),5666,5666,N,N,04-048-003,04-04
04,BÉKÉS,04,048,Medgyesegyháza,,004,Bánkút-Petőfi utca 42. (Kastély),5752,5752,N,N,04-048-004,04-04
04,BÉKÉS,02,049,Mezőberény,,001,Kinizsi u.13. (Csiribiri Óvoda),5650,5650,N,N,04-049-001,04-02
04,BÉKÉS,02,049,Mezőberény,,002,Kodály Zoltán utca 8. (Nefelejcs Óvoda),5650,5650,N,N,04-049-002,04-02
04,BÉKÉS,02,049,Mezőberény,,003,Luther tér 1. (Általános Iskola),5650,5650,N,I,04-049-003,04-02
04,BÉKÉS,02,049,Mezőberény,,004,Liget tér 5. (Mosolygó Központi Óvoda),5650,5650,N,I,04-049-004,04-02
04,BÉKÉS,02,049,Mezőberény,,005,Hősök útja 3. (Idősek Klubja),5650,5650,N,I,04-049-005,04-02
04,BÉKÉS,02,049,Mezőberény,,006,Kálvin u. 2. (Magyarvégesi Óvoda),5650,5650,N,N,04-049-006,04-02
04,BÉKÉS,02,049,Mezőberény,,007,Petőfi út 27. (Humánsegítő Szolgálat),5650,5650,N,I,04-049-007,04-02
04,BÉKÉS,02,049,Mezőberény,,008,Luther utca 23. (Vadászház),5650,5650,N,N,04-049-008,04-02
04,BÉKÉS,03,050,Mezőgyán,,001,Árpád u. 30. (Biztos Kezdet Gyerekház),5732,5732,N,I,04-050-001,04-03
04,BÉKÉS,03,050,Mezőgyán,,002,Bocskai u. 6.,5732,5732,N,N,04-050-002,04-03
04,BÉKÉS,04,051,Mezőhegyes,,001,"Kozma F. u. 23. (Techn.,Szakképző Isk. I.)",5820,5820,N,I,04-051-001,04-04
04,BÉKÉS,04,051,Mezőhegyes,,002,"Kozma F. u. 23. (Techn.,Szakképző Isk.II.)",5820,5820,N,I,04-051-002,04-04
04,BÉKÉS,04,051,Mezőhegyes,,003,Béke park 1. (Ált. Műv. Központ I.),5820,5820,N,I,04-051-003,04-04
04,BÉKÉS,04,051,Mezőhegyes,,004,Béke park 1. (Ált. Műv. Központ II.),5820,5820,N,I,04-051-004,04-04
04,BÉKÉS,04,051,Mezőhegyes,,005,Kozma Ferenc utca 1. (volt Zeneiskola),5820,5820,N,I,04-051-005,04-04
04,BÉKÉS,04,052,Mezőkovácsháza,,001,Árpád utca 184. (Iskola),5800,5800,N,I,04-052-001,04-04
04,BÉKÉS,04,052,Mezőkovácsháza,,002,Árpád utca 184. (Iskola),5800,5800,N,I,04-052-002,04-04
04,BÉKÉS,04,052,Mezőkovácsháza,,003,Petőfi utca 8. (Óvoda),5800,5800,N,I,04-052-003,04-04
04,BÉKÉS,04,052,Mezőkovácsháza,,004,Sármezey Endre utca 63. (Gimnázium),5800,5800,N,I,04-052-004,04-04
04,BÉKÉS,04,052,Mezőkovácsháza,,005,Táncsics Mihály utca 38. (Óvoda),5800,5800,N,I,04-052-005,04-04
04,BÉKÉS,03,053,Méhkerék,,001,Damjanich utca 4. (házasságkötő terem),5726,5726,N,N,04-053-001,04-03
04,BÉKÉS,03,053,Méhkerék,,002,Kossuth utca 79. (Művelődési Ház),5726,5726,N,I,04-053-002,04-03
04,BÉKÉS,02,054,Murony,,001,Földvári utca 1. (Polgármesteri Hivatal),5672,5672,N,I,04-054-001,04-02
