source,target,kozos_hatar_m
N000075,N001986,7027.125
N000076,N000279,2887.302
N000076,N000247,3266.53
N000076,N000245,1001.005
N000076,N000265,1320.828
N000077,N000119,2355.12
N000077,N000274,658.2
N000077,N000289,3521.184
N000077,N000161,688.265
N000077,N000118,6551.777
N000077,N000242,5050.226
N000078,N000163,4439.81
N000078,N000095,6073.79
N000078,N000115,900.779
N000078,N000268,2890.289
N000079,N000272,3494.959
N000079,N000286,3640.259
N000079,N002391,819.192
N000079,N002361,5000.503
N000079,N000168,1410.092
N000080,N000211,1409.312
N000080,N000206,267.98
N000080,N000119,2012.404
N000080,N000158,4962.72
N000080,N000161,2209.031
N000080,N000241,257.792
N000081,N000167,10304.526
N000081,N000104,1146.311
N000081,N000232,42.025
N000081,N000088,2551.421
N000082,N002004,2423.209
N000082,N002000,2181.188
N000082,N000275,6306.586
N000082,N000248,3444.32
N000082,N001930,1667.908
N000082,N001936,4496.27
N000082,N001958,3736.241
N000083,N000122,2144.774
N000083,N000204,3262.614
N000083,N000224,4419.3
N000083,N000299,1937.357
N000083,N000212,3400.259
N000084,N000095,3676.253
N000084,N000268,1067.476
N000084,N000209,94.887
N000084,N000251,1404.543
N000084,N000260,1231.742
N000084,N000235,6659.932
N000084,N000180,1830.256
N000085,N000224,1740.792
N000085,N000114,4076.374
N000085,N000212,4734.599
N000086,N000158,5844.181
N000086,N000241,5842.541
N000086,N000118,3507.532
N000087,N000117,6209.097
N000087,N000284,999.683
N000087,N000264,1808.627
N000087,N000215,6939.46
N000087,N000132,635.095
N000087,N000181,875.285
N000088,N000104,5107.404
N000088,N000137,1280.035
N000088,N000170,4251.644
N000088,N000232,8806.71
N000088,N000279,1022.832
N000088,N000247,228.65
N000089,N000159,1848.511
N000089,N000199,4381.239
N000089,N000171,398.949
N000090,N000291,1868.762
N000090,N000250,1035.332
N000090,N000141,2582.311
N000090,N000276,2397.476
N000091,N000223,2082.877
N000091,N000140,4136.476
N000091,N000211,169.487
N000091,N000233,7198.82
N000091,N000271,5389.703
N000091,N000122,1582.745
N000092,N000259,557.706
N000093,N000198,2290.713
N000093,N000257,7013.725
N000093,N000102,2544.436
N000093,N000275,254.202
N000093,N000145,1670.364
N000094,N002449,698.889
N000094,N000174,9315.081
N000094,N002416,3681.843
N000094,N002395,5096.176
N000094,N002356,6574.031
N000094,N002348,94.895
N000095,N000268,5141.306
N000095,N000130,398.263
N000095,N000260,5124.86
N000096,N000131,7947.492
N000096,N000288,6635.957
N000096,N000153,433.636
N000096,N000282,2422.146
N000097,N000256,2315.872
N000097,N000284,5487.468
N000097,N000181,4479.749
N000097,N000261,8877.974
N000098,N000143,6356.274
N000098,N000348,9815.508
N000098,N000323,7290.855
N000098,N000180,21781.235
N000099,N000102,3478.582
N000099,N000275,2634.234
N000100,N003801,239.679
N000100,N003796,4084.113
N000100,N000219,11737.195
N000100,N000136,7557.706
N000100,N000203,1195.097
N000100,N000155,3408.787
N000100,N000291,2829.381
N000100,N002449,1625.513
N000101,N000257,870.177
N000101,N000138,4648.163
N000101,N000124,3530.829
N000102,N000194,1183.591
N000102,N000275,2142.116
N000103,N000146,5096.614
N000103,N000106,1306.848
N000103,N000129,3226.652
N000104,N000137,3888.584
N000105,N000208,2765.106
N000105,N000294,3788.719
N000105,N000127,1382.654
N000105,N000121,1853.235
N000105,N000128,3516.059
N000105,N000184,366.026
N000106,N000129,2854.862
N000106,N000228,2140.379
N000106,N000149,2201.208
N000107,N000118,1437.341
N000107,N000255,3053.395
N000107,N000192,1566.573
N000107,N000194,6832.491
N000107,N000259,1914.876
N000108,N000256,2174.519
N000108,N000226,4186.488
N000109,N000231,5724.705
N000109,N000165,6998.247
N000109,N000197,2341.081
N000110,N000155,7057.473
N000110,N000291,5375.863
N000110,N000244,1873.373
N000110,N000141,2794.856
N000111,N000200,5133.97
N000111,N000234,3604.968
N000112,N000262,834.934
N000112,N000171,5550.603
N000112,N000253,6031.505
N000113,N000296,9421.266
N000113,N000220,9390.109
N000113,N000153,133.539
N000114,N000265,855.483
N000114,N000263,634.487
N000114,N000224,384.438
N000114,N000142,2781.53
N000114,N003795,3725.114
N000114,N000212,3486.525
N000114,N003776,1092.685
N000114,N003786,347.558
N000114,N003779,30.436
N000115,N000163,4218.21
N000115,N000253,2420.675
N000116,N000246,3655.569
N000116,N000273,660.948
N000117,N000270,6305.561
N000117,N000297,3837.448
N000117,N000284,4131.169
N000117,N000264,3078.162
N000118,N000158,1663.927
N000118,N000161,1894.547
N000118,N000241,174.783
N000118,N000255,3243.033
N000118,N000242,863.681
N000118,N000259,5104.828
N000119,N000206,4229.323
N000119,N000274,4054.29
N000119,N000161,3883.377
N000120,N000257,3341.135
N000120,N000124,1041.07
N000120,N000179,3067.103
N000121,N000127,3072.023
N000121,N000222,2289.78
N000121,N000184,3644.709
N000122,N000233,1737.711
N000122,N000204,3287.422
N000123,N000297,444.262
N000123,N000215,2578.542
N000123,N001950,5291.602
N000123,N000186,4803.792
N000123,N001967,2914.67
N000124,N000257,3408.844
N000124,N000179,6333.529
N000125,N000234,3498.285
N000125,N000188,6096.898
N000125,N000232,1860.221
N000125,N000193,6568.341
N000125,N000208,2340.483
N000125,N000294,664.46
N000126,N000295,3155.56
N000126,N000281,1907.583
N000126,N000214,4078.688
N000127,N000293,2397.32
N000127,N000294,2816.176
N000127,N000222,1758.055
N000128,N000208,1148.055
N000128,N000281,2805.985
N000128,N000217,2839.259
N000128,N000214,680.071
N000128,N000184,4116.362
N000129,N000146,136.677
N000129,N000154,2777.718
N000129,N000149,3325.213
N000129,N000172,958.704
N000130,N000147,4420.378
N000130,N000260,1839.756
N000130,N000150,1439.797
N000132,N000215,2985.407
N000132,N000195,3496.149
N000132,N000181,2416.476
N000133,N000234,3782.343
N000133,N000188,3817.495
N000134,N000232,2656.08
N000134,N000295,5470.857
N000135,N000136,2146.877
N000135,N000175,1582.492
N000135,N000155,2368.072
N000135,N000148,2240.718
N000135,N000272,5011.735
N000136,N003796,1910.264
N000136,N000169,13534.09
N000136,N000175,7863.966
N000136,N000155,8418.166
N000136,N000160,5395.545
N000137,N000170,1167.059
N000138,N000201,3249.316
N000138,N000156,1052.48
N000139,N000218,2837.953
N000139,N000254,3810.535
N000139,N003764,3166.324
N000139,N003762,3727.416
N000139,N000189,2625.858
N000140,N000223,3380.355
N000140,N000211,2993.746
N000141,N000291,663.992
N000141,N000244,3426.331
N000142,N000245,1825.925
N000142,N000263,1089.673
N000142,N000221,1322.345
N000142,N003793,4187.028
N000142,N003795,988.532
N000143,N000230,6277.847
N000143,N000190,1637.994
N000143,N000180,11587.208
N000144,N003787,439.43
N000144,N003792,992.354
N000144,N000201,2394.82
N000144,N003785,1421.894
N000144,N000145,11993.112
N000146,N000154,4759.158
N000147,N000190,2327.744
N000147,N000260,5834.82
N000147,N000180,7965.651
N000148,N000175,2838.103
N000148,N000156,2287.371
N000148,N000160,1777.329
N000148,N000202,306.105
N000148,N000283,6403.478
N000148,N000272,2030.787
N000149,N000228,1170.761
N000149,N000172,3555.784
N000149,N000162,2018.676
N000149,N000278,1612.504
N000150,N000290,2186.578
N000150,N000163,4465.138
N000150,N000171,5666.098
N000150,N000253,1210.091
N000151,N000214,4787.404
N000151,N000254,5560.526
N000151,N000159,1987.827
N000152,N000191,3989.272
N000152,N000298,3970.421
N000153,N000288,4848.361
N000153,N000220,6354.996
N000153,N000282,2318.667
N000153,N000185,1232.54
N000154,N000293,5932.601
N000154,N000172,5232.534
N000155,N000291,4048.237
N000155,N000244,1922.425
N000156,N000201,7304.434
N000156,N000169,1648.708
N000156,N000160,8912.477
N000157,N000285,10736.797
N000157,N000238,8386.888
N000157,N002104,2287.737
N000157,N002077,1578.631
N000157,N002113,4050.167
N000158,N000161,4426.534
N000158,N000241,3533.144
N000159,N000254,2036.174
N000159,N000189,4043.798
N000159,N000225,42.714
N000160,N000169,1487.17
N000160,N000175,4426.366
N000162,N000280,3018.433
N000162,N000278,5202.846
N000162,N000230,4107.85
N000162,N000190,5053.801
N000163,N000253,1166.908
N000165,N000197,1968.47
N000165,N000256,3444.621
N000166,N000262,3136.271
N000166,N003800,1842.43
N000166,N000219,4186.703
N000166,N000213,2270.838
N000167,N000232,3246.094
N000168,N002361,5102.016
N000168,N000187,9208.966
N000168,N002365,6812.436
N000168,N002366,2505.982
N000169,N003750,5149.541
N000169,N003798,737.346
N000169,N003755,2296.887
N000169,N003799,828.55
N000169,N003792,916.346
N000169,N000201,2775.106
N000169,N003796,351.343
N000170,N000247,1585.134
N000171,N000252,3207.115
N000171,N000290,785.035
N000171,N000182,4255.945
N000171,N000199,1572.503
N000171,N000253,429.992
N000172,N000293,2625.768
N000172,N000278,4331.735
N000173,N002449,10144.84
N000173,N000250,9474.904
N000173,N002379,1352.382
N000174,N000298,2746.428
N000174,N000205,3047.608
N000174,N000203,2905.475
N000174,N002449,3340.291
N000174,N002359,5113.014
N000174,N002356,3013.683
N000176,N000187,4924.154
N000176,N002404,5955.863
N000176,N002412,1529.275
N000176,N002402,3210.582
N000177,N000195,1873.212
N000177,N000186,2074.174
N000177,N000277,2621.093
N000177,N000210,2634.821
N000177,N001967,5728.186
N000177,N000236,493.67
N000177,N000237,3485.798
N000177,N002023,1933.185
N000178,N000229,4558.067
N000178,N000287,1235.102
N000178,N000269,949.052
N000178,N002386,7850.601
N000179,N000202,1934.192
N000179,N000229,3927.951
N000179,N000207,3932.924
N000179,N000275,397.755
N000180,N000190,4239.982
N000180,N000260,4066.369
N000180,N000235,5907.096
N000180,N000323,4661.935
N000180,N000383,3295.803
N000180,N000326,11923.134
N000181,N000284,880.962
N000181,N000195,2370.568
N000181,N000277,2796.167
N000181,N000261,1513.822
N000181,N000210,2714.647
N000182,N000252,6820.739
