plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
szimulalt_recom,BARANYA,67213.0,20099.0,25259.0,44.312,55.688,-11.376,False,0.2993,-4.009,
szimulalt_recom,BARANYA,72040.0,21586.0,25839.0,45.516,54.484,-8.968,False,0.2808,2.885,
szimulalt_recom,BÉKÉS,67146.0,18055.0,29098.0,38.29,61.71,-23.42,False,0.3831,1.041,
szimulalt_recom,BÉKÉS,65723.0,18403.0,26870.0,40.649,59.351,-18.702,False,0.3637,-1.1,
szimulalt_recom,BÉKÉS,65625.0,17180.0,31359.0,35.394,64.606,-29.212,False,0.4872,-1.248,
szimulalt_recom,BÉKÉS,67323.0,20948.0,23975.0,46.631,53.369,-6.738,False,0.2712,1.307,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,67441.0,19673.0,25174.0,43.867,56.133,-12.266,False,0.121,-1.151,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,68133.0,16896.0,31840.0,34.668,65.332,-30.663,False,0.1983,-0.137,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,66494.0,17474.0,29625.0,37.101,62.899,-25.799,False,0.2156,-2.539,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,67435.0,20228.0,20058.0,50.211,49.789,0.422,True,0.1949,-1.16,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,69194.0,19175.0,28108.0,40.554,59.446,-18.893,False,0.1503,1.418,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,69487.0,22899.0,22805.0,50.103,49.897,0.206,True,0.2118,1.847,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,69402.0,15398.0,31667.0,32.716,67.284,-34.567,False,0.2983,1.723,
szimulalt_recom,BUDAPEST,64574.0,13936.0,35432.0,28.229,71.771,-43.542,False,0.164,3.359,bp_003;bp_013
szimulalt_recom,BUDAPEST,59220.0,14757.0,29800.0,33.119,66.881,-33.761,False,0.3882,-5.211,bp_018;bp_020;bp_023
szimulalt_recom,BUDAPEST,33021.0,8853.0,17049.0,34.179,65.821,-31.642,False,0.3262,-47.146,bp_017
szimulalt_recom,BUDAPEST,60488.0,15560.0,32722.0,32.227,67.773,-35.545,False,0.3004,-3.181,bp_016;bp_017
szimulalt_recom,BUDAPEST,64887.0,13139.0,35644.0,26.934,73.066,-46.133,False,0.4962,3.86,bp_004;bp_013;bp_014;bp_023
