cache_key,latitude,longitude,talalat
Budapest II|002|Budapest|1029|Máriaremetei út 71. (Ált. Isk.),47.5473663,18.9541344,"structured: {'street': 'Máriaremetei út 71', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1029'}"
Budapest II|002|Budapest|1028|Templom u. 2-10. (Klebelsberg K. Műv. Közp.),47.5653043,18.9605649,"structured: {'street': 'Templom utca 2-10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1028'}"
Budapest II|002|Budapest|1029|Templom u. 2-10. (Klebelsberg K. Műv. Közp.),47.565144,18.9603419,"structured: {'street': 'Templom utca 2-10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1029'}"
Budapest II|002|Budapest|1029|Máriaremetei út 185. (Óvoda),47.560153,18.9475894,"structured: {'street': 'Máriaremetei út 185', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1029'}"
Budapest II|002|Budapest|1029|Hímes u. 3. (Cserkészház),47.5614808,18.9439272,"structured: {'street': 'Hímes utca 3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1029'}"
Budapest II|002|Budapest|1028|Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.),47.4601237,18.9534876,utca fallback
Budapest II|002|Budapest|1029|Kútföldi út 1. (Közösségi Ház),47.5479154,18.9385704,"structured: {'street': 'Kútföldi út 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1029'}"
Budapest II|002|Budapest|1021|Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.),47.5194925,18.9874551,"structured: {'street': 'Budenz út 20-22', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1021'}"
Budapest II|002|Budapest|1024|Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.),47.5115243,19.0214999,"structured: {'street': 'Marczibányi tér 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1024'}"
Budapest II|002|Budapest|1024|Kitaibel Pál u. 10. (Óvoda),47.5130577,19.0276159,"structured: {'street': 'Kitaibel Pál utca 10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1024'}"
Budapest II|002|Budapest|1023|Kitaibel Pál u. 10. (Óvoda),47.5129056,19.0279195,"structured: {'street': 'Kitaibel Pál utca 10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1023'}"
Budapest II|002|Budapest|1027|Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.),47.5085824,19.035952,"structured: {'street': 'Medve utca 5-7', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1027'}"
Budapest II|002|Budapest|1027|Kitaibel Pál u. 10. (Óvoda),47.5129056,19.0279195,"structured: {'street': 'Kitaibel Pál utca 10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1027'}"
Budapest II|002|Budapest|1027|Kapás u. 55. (Budai Táncklub),47.5110181,19.0334339,"structured: {'street': 'Kapás utca 55', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1027'}"
Budapest III|003|Budapest|1036|Árpád fejedelem útja 60. (Óvoda),47.5301484,19.041032,"structured: {'street': 'Árpád fejedelem útja 60', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1036'}"
