telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Bánokszentgyörgy,462,339,335,167,136
Bánréve,880,655,649,267,312
Bár,452,354,352,123,149
Bárdudvarnok,852,672,662,255,329
Bárna,729,548,546,301,192
Bársonyos,578,405,400,211,155
Báránd,1847,1346,1343,602,649
Báta,1151,857,822,431,270
Bátaapáti,297,231,229,115,106
Bátaszék,4839,3711,3692,1478,1796
Bátmonostor,1206,893,886,387,419
Bátonyterenye,8694,6119,6071,2200,3331
Bátor,307,261,258,92,137
Bátorliget,482,370,367,166,162
Bátya,1540,1162,1157,468,616
Bázakerettye,506,410,408,126,241
Béb,205,179,177,94,66
Békás,160,130,129,81,40
Békés,17114,13573,13435,4952,7142
Békéscsaba,46842,38921,38731,11693,23519
Békésszentandrás,2769,2240,2218,778,1250
Békéssámson,1757,1261,1255,563,549
Bélapátfalva,2077,1519,1510,622,765
Bélavár,249,200,197,103,88
Bélmegyer,688,568,563,251,249
Bénye,1007,830,825,360,356
Bér,269,215,213,116,76
Bérbaltavár,382,245,242,127,92
Bócsa,1370,1081,1074,435,526
Bódvalenke,187,95,95,89,4
Bódvarákó,54,38,38,27,10
Bódvaszilas,645,481,473,269,178
Bókaháza,206,160,160,100,38
Bóly,2647,2192,2172,774,1078
Bózsva,151,118,118,48,58
Böde,210,176,173,86,67
Bödeháza,39,35,35,16,14
Bögöt,310,271,271,143,105
Bögöte,261,225,225,126,83
Böhönye,1646,1203,1199,517,561
Bököny,2293,1497,1470,897,480
Bölcske,2052,1606,1596,791,670
Börcs,1076,900,896,304,525
Börzönce,37,27,27,9,17
Búcsúszentlászló,535,453,450,204,196
Bük,2652,2118,2109,966,990
Bükkaranyos,1162,888,851,300,489
Bükkmogyorósd,97,79,79,33,35
Bükkszenterzsébet,779,527,513,281,179
Bükkszentkereszt,865,711,707,270,344
Bükkszentmárton,209,130,130,56,57
Bükkszék,522,431,431,175,216
Bükkzsérc,778,634,633,265,290
Bükkábrány,1290,1079,1072,452,498
Bükkösd,844,603,595,247,299
Bürüs,53,37,36,15,17
Büssü,184,116,114,84,14
Büttös,122,90,86,61,22
Bő,535,450,447,213,201
Bőcs,1940,1443,1410,583,660
Bőny,1769,1384,1375,595,679
Bőszénfa,359,279,269,116,121
Bősárkány,1696,1461,1456,806,522
Cakóháza,40,32,32,23,9
Cece,1981,1453,1444,853,492
Cegléd,29879,23811,23661,8342,13163
Ceglédbercel,3496,2773,2757,1030,1359
Celldömölk,7802,6365,6347,2895,2919
Cered,773,541,536,271,225
Chernelházadamonya,162,137,136,69,60
Cibakháza,2903,1926,1890,858,886
Cigánd,2146,1218,1190,542,564
Cikó,726,575,566,266,229
Cirák,409,351,348,212,115
Csabacsűd,1342,1077,1072,439,530
Csabaszabadi,228,199,199,90,80
Csabdi,1020,870,864,389,392
Csabrendek,2207,1652,1644,690,793
Csaholc,398,278,270,160,96
Csajág,655,512,510,221,238
Csanytelek,2056,1457,1442,645,700
Csanádalberti,332,240,237,113,100
Csanádapáca,1890,1335,1331,456,761
Csanádpalota,2100,1474,1457,586,741
Csapi,118,95,93,49,32
Csapod,444,388,384,203,130
Csarnóta,103,72,72,23,35
Csaroda,478,349,346,169,159
Csataszög,237,185,178,103,62
Csatka,185,141,141,57,66
Csatár,400,351,346,148,164
Csebény,56,48,48,23,21
Csegöld,530,382,381,221,145
Csehbánya,244,218,213,66,100
Csehi,197,152,152,95,43
Csehimindszent,257,184,183,103,72
Csempeszkopács,268,240,239,93,126
Csemő,3368,2318,2302,996,1030
Csengele,1422,1112,1104,498,508
Csenger,3676,2735,2704,1282,1195
Csengersima,623,401,395,224,145
Csengerújfalu,541,374,366,185,158
Csengőd,1619,1224,1218,661,424
Csenyéte,297,163,160,152,8
Csepreg,2464,1999,1985,989,815
Cserdi,285,165,154,62,63
Cserháthaláp,266,223,223,86,104
Cserhátsurány,581,444,440,246,160
Cserhátszentiván,96,78,78,36,33
Cserkeszőlő,1909,1497,1487,598,750
Cserkút,537,432,432,125,256
Csernely,479,322,320,166,122
Cserszegtomaj,2439,2072,2064,802,1048
Csertalakos,28,15,15,7,4
Csertő,298,211,210,107,89
Cserénfa,174,136,136,48,75
Cserépfalu,778,664,662,274,341
Cserépváralja,291,247,244,100,126
Csesznek,383,310,310,126,146
Csesztreg,650,546,544,245,266
Csesztve,252,205,202,60,96
Csetény,1444,1189,1184,545,529
Csibrák,199,111,111,61,43
Csikvánd,384,308,305,180,106
Csikéria,556,372,371,158,168
Csikóstőttős,643,446,445,184,203
Csincse,417,343,342,117,188
Csipkerek,288,229,226,111,108
Csitár,308,248,248,117,102
