telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Forráskút,1601,1294,1290,541,634
Forró,1858,1304,1277,681,449
Fulókércs,260,164,162,112,41
Furta,885,645,641,279,322
Fábiánháza,1333,841,822,512,244
Fábiánsebestyén,1509,1231,1227,434,696
Fácánkert,537,419,414,190,174
Fáj,292,208,207,173,30
Fényeslitke,1839,1378,1369,596,693
Fót,16035,13455,13392,4315,7977
Földes,3044,2387,2371,1065,1043
Földeák,2414,1873,1862,666,1051
Füle,713,589,588,241,272
Fülesd,325,233,232,122,93
Fülpösdaróc,262,211,210,138,58
Fülöp,1292,901,888,456,329
Fülöpháza,671,548,547,220,276
Fülöpjakab,888,699,697,312,324
Fülöpszállás,1764,1239,1230,589,539
Fürged,480,281,276,162,93
Füzesabony,5590,4234,4175,1637,2160
Füzesgyarmat,4130,3163,3149,1101,1812
Füzér,257,223,222,96,102
Füzérkajata,80,65,64,21,37
Füzérkomlós,200,160,159,55,87
Füzérradvány,219,161,155,66,68
Főnyed,56,39,38,17,18
Fűzvölgy,108,92,91,33,46
Gacsály,599,363,358,262,88
Gadna,170,89,80,61,5
Gadács,70,51,51,21,28
Gadány,211,142,140,85,49
Gagyapáti,26,22,21,10,10
Gagybátor,118,67,64,36,16
Gagyvendégi,149,98,98,58,37
Galambok,901,640,634,322,259
Galgaguta,483,392,390,174,170
Galgagyörk,716,559,556,265,240
Galgahévíz,2015,1599,1593,708,723
Galgamácsa,1512,1224,1217,500,598
Galvács,59,53,52,30,17
Gamás,516,345,340,202,104
Ganna,203,178,177,78,72
Gara,1451,1053,1039,444,482
Garabonc,476,348,341,191,121
Garadna,246,200,196,100,70
Garbolc,106,92,91,80,10
Garáb,28,24,24,10,9
Garé,238,196,196,86,98
Gasztony,353,292,292,173,95
Gecse,306,243,241,132,91
Gelej,407,326,323,159,143
Gellénháza,1160,974,969,412,449
Gelse,822,631,628,239,338
Gelsesziget,199,160,160,59,88
Gelénes,417,262,257,195,53
Gemzse,591,413,407,233,158
Gencsapáti,2099,1879,1868,721,996
Gerde,382,245,245,112,115
Gerendás,890,679,673,236,358
Geresdlak,550,421,417,177,167
Gerjen,947,725,713,354,308
Gersekarát,543,442,440,217,181
Gerényes,150,91,88,36,40
Geszt,532,368,367,262,87
Gesztely,1923,1426,1412,671,641
Geszteréd,1313,953,948,490,412
Gibárt,279,232,231,70,124
Gic,267,217,216,110,82
Gige,289,187,186,108,67
Gilvánfa,255,133,113,55,29
Girincs,591,405,390,253,120
Golop,423,342,340,164,153
Gomba,2497,1953,1941,754,989
Gombosszeg,45,35,35,10,15
Gordisa,213,142,140,72,49
Gosztola,53,45,45,13,31
Grábóc,119,94,94,62,25
Gulács,738,484,477,285,177
Gutorfölde,734,568,563,220,282
Gyalóka,61,56,56,16,40
Gyanógeregye,132,109,109,63,38
Gyarmat,1091,895,890,426,392
Gyenesdiás,3060,2556,2554,1041,1320
Gyepükaján,271,197,197,112,75
Gyermely,1209,1021,1015,390,531
Gyomaendrőd,10062,7431,7392,2696,3982
Gyugy,227,178,176,94,68
Gyula,25445,20959,20854,6697,12398
Gyulaháza,1431,965,952,418,469
Gyulaj,578,412,398,266,82
Gyulakeszi,559,432,432,183,218
Gyál,18874,15026,14983,4898,8865
Gyékényes,736,570,565,273,241
Gyód,627,510,509,194,248
Gyóró,283,222,221,128,74
Gyömrő,15001,12415,12376,3809,7611
Gyömöre,994,783,781,382,339
Gyöngyfa,104,72,67,38,13
Gyöngyös,23604,19486,19400,5990,11752
Gyöngyösfalu,894,764,761,319,380
Gyöngyöshalász,2105,1812,1804,604,1020
Gyöngyösmellék,225,152,143,64,57
Gyöngyösoroszi,1025,703,692,349,271
Gyöngyöspata,1826,1373,1371,686,570
Gyöngyössolymos,2285,1935,1921,640,1078
Gyöngyöstarján,1826,1544,1538,562,849
Gyönk,1329,998,996,493,399
Györe,481,383,383,141,197
Györgytarló,388,249,242,56,168
Györköny,748,602,597,236,238
Gyúró,1033,885,882,358,425
Gyügye,224,174,173,103,62
Gyüre,912,684,676,433,192
Győr,89997,74420,74110,24573,44008
Győrasszonyfa,398,307,302,153,126
Győrladamér,1483,1273,1268,449,726
Győrszemere,2821,2228,2222,925,1130
Győrság,1370,1148,1147,507,517
Győrsövényház,631,497,492,201,225
Győrtelek,1136,697,682,446,196
Győrvár,493,400,398,203,160
Győrzámoly,2896,2538,2530,849,1474
Győröcske,104,71,70,35,30
Győrújbarát,6210,5463,5449,1789,3230
Győrújfalu,1761,1593,1590,590,893
Gyűrűs,55,30,30,11,18
Gáborján,636,432,428,271,132
Gáborjánháza,53,44,44,33,7
Gádoros,2730,1928,1910,784,937
Gálosfa,163,125,122,72,36
Gánt,480,383,380,144,166
Gárdony,9942,8421,8382,2643,4981
Gátér,715,564,559,230,283
Gávavencsellő,2502,1802,1779,894,761
Géberjén,368,305,301,173,111
Géderlak,739,552,544,218,291
Gégény,1409,959,957,432,448
Gérce,856,633,632,313,257
Gétye,72,53,53,29,19
Gógánfa,568,401,400,199,162
Gór,251,215,214,105,84
Göd,16251,14177,14134,4187,8863
Gödre,598,431,418,201,142
Gödöllő,26520,22909,22820,7023,13975
Gölle,569,408,406,217,152
Gömörszőlős,59,52,52,27,15
Gönc,1306,959,947,489,396
Göncruszka,404,286,282,156,105
Gönyű,2513,2043,2039,871,1011
Görbeháza,1859,1429,1424,607,697
Görcsöny,1281,980,971,380,485
Görcsönydoboka,275,206,204,69,82
Görgeteg,796,524,520,268,228
Gősfa,240,198,197,113,64
Hagyárosbörönd,224,193,191,88,85
Hahót,811,593,587,294,243
Hajdúbagos,1558,1120,1107,498,505
Hajdúböszörmény,25214,20060,19884,6904,10957
Hajdúdorog,6585,4830,4777,2235,2164
Hajdúhadház,9441,6259,6143,3022,2478
Hajdúnánás,12520,9627,9583,3737,5012
Hajdúszoboszló,21311,17112,16994,5924,9725
Hajdúszovát,2256,1546,1512,752,604
Hajdúsámson,11233,8389,8334,3472,4254
Hajmás,158,110,107,61,32
Hajmáskér,2347,1745,1733,666,917
Hajós,2222,1747,1733,626,898
Halastó,59,56,55,34,17
Halimba,913,720,718,267,386
Halmaj,1235,960,946,445,423
Halmajugra,896,545,542,320,196
Halogy,190,164,163,101,48
Halászi,2549,2177,2166,900,1091
Halásztelek,9192,7757,7718,2413,4718
Hangony,1083,703,700,354,272
Hangács,435,314,310,164,119
Hantos,701,525,522,216,244
Harasztifalu,148,125,122,55,58
Harc,633,478,475,215,211
Harka,2351,2085,2079,731,1126
Harkakötöny,609,510,509,236,204
Harkány,4154,3274,3243,1239,1659
Harsány,1542,1187,1182,483,611
Harta,2602,2116,2085,657,1159
Hatvan,17891,14827,14762,4596,8728
Hedrehely,269,176,172,110,48
Hegyesd,128,111,111,48,44
Hegyeshalom,2611,2050,2035,836,1034
Hegyfalu,575,424,416,194,186
Hegyháthodász,120,100,100,55,33
Hegyhátmaróc,100,79,78,28,32
Hegyhátszentjakab,221,189,189,91,80
Hegyhátszentmárton,54,51,51,32,14
Hegyhátszentpéter,110,92,92,54,35
Hegyhátsál,106,85,84,54,25
Hegykő,1269,1124,1119,502,520
Hegymagas,216,185,185,63,108
Hegymeg,79,74,73,32,37
Hegyszentmárton,331,239,236,112,110
Hejce,166,131,130,77,47
Hejőbába,1222,853,848,402,397
Hejőkeresztúr,775,592,591,214,284
Hejőkürt,228,192,190,62,112
Hejőpapi,760,510,492,204,248
Hejőszalonta,526,413,412,242,146
Helesfa,280,182,178,71,92
Helvécia,4033,3204,3187,1221,1653
Hencida,852,525,498,303,96
Hencse,240,187,184,100,67
Herceghalom,1981,1740,1731,479,1153
Hercegkút,468,427,422,109,169
Hercegszántó,1449,997,993,440,443
Herencsény,443,330,326,186,107
Herend,2853,2412,2399,821,1293
Heresznye,183,137,137,69,41
Hermánszeg,209,137,136,93,33
Hernyék,65,55,55,17,35
Hernád,3280,2526,2513,941,1374
Hernádbűd,96,83,83,43,34
Hernádcéce,157,99,99,46,47
Hernádkak,1191,937,933,370,461
Hernádkércs,217,167,162,77,82
Hernádnémeti,2609,1899,1882,763,973
Hernádpetri,147,92,90,51,35
Hernádszentandrás,284,202,197,121,61
Hernádszurdok,121,107,100,61,25
Hernádvécse,655,417,403,282,98
Heréd,1446,1201,1196,488,576
Hetefejércse,238,163,159,116,39
Hetes,886,732,729,336,332
Hetvehely,371,284,280,112,125
Hetyefő,75,50,50,20,26
Heves,7494,5732,5670,2558,2633
Hevesaranyos,421,269,268,171,73
Hevesvezekény,489,374,373,142,201
Hidas,1553,1172,1164,498,522
Hidasnémeti,576,450,443,191,222
Hidegkút,367,310,307,87,171
Hidegség,336,293,290,115,146
Hidvégardó,353,263,263,143,102
Himesháza,771,618,606,193,260
Himod,527,416,410,213,140
Hirics,171,99,95,60,24
Hobol,751,579,575,176,349
Hodász,2290,1504,1484,980,470
Hollád,173,130,125,70,46
Hollóháza,522,398,397,156,194
Hollókő,246,205,204,79,109
Homokbödöge,517,403,400,206,163
Homokkomárom,204,140,139,62,66
Homokmégy,1016,773,768,290,408
Homokszentgyörgy,767,492,488,229,220
Homorúd,436,328,324,169,111
Homrogd,687,467,456,242,161
Hont,379,289,284,171,89
Horpács,137,115,114,44,55
Hort,2954,2410,2393,953,1225
Hortobágy,1071,800,799,292,444
Horváthertelend,40,30,30,22,7
Horvátlövő,139,133,133,68,45
Horvátzsidány,605,513,512,228,238
Hosszúhetény,2626,2135,2120,673,1211
Hosszúpereszteg,527,386,382,197,151
Hosszúpályi,4315,2982,2868,1366,1127
Hosszúvíz,36,27,27,14,8
Hosszúvölgy,133,110,110,30,64
Hosztót,52,45,44,29,11
Hottó,265,231,229,96,118
Hugyag,623,422,409,267,111
Hunya,471,353,350,159,160
Hunyadfalva,136,88,85,50,31
Husztót,39,21,21,12,8
Hács,261,208,208,83,109
Háromfa,489,356,352,158,173
Háromhuta,107,89,89,41,39
Hárskút,546,465,462,181,208
Hásságy,241,206,204,58,73
Hédervár,1023,876,868,335,471
Héhalom,748,579,564,283,236
Héreg,876,675,669,241,354
Hét,366,285,281,94,160
Hévíz,3377,2767,2746,1133,1396
Hévízgyörk,2678,2276,2261,813,1242
Hódmezővásárhely,35244,29118,28984,8642,18238
Hövej,277,240,239,115,97
Hőgyész,2046,1469,1457,623,680
Ibafa,140,99,98,48,44
Iborfia,12,12,12,8,3
Ibrány,4952,3528,3485,1404,1775
Igal,1049,825,822,370,384
Igar,696,484,477,245,202
Igrici,839,576,566,230,289
Iharos,345,244,243,122,109
Iharosberény,971,634,624,332,246
Ikervár,1310,1081,1079,431,552
Iklad,1571,1368,1357,416,703
Iklanberény,39,37,37,26,7
Iklódbördőce,217,159,159,87,57
Ikrény,1439,1237,1230,405,722
Iliny,112,93,93,47,30
Ilk,851,648,639,403,210
Illocska,187,142,129,68,53
Imola,76,61,59,27,31
Imrehegy,471,347,341,181,119
Inke,869,565,552,278,240
Ináncs,873,637,627,295,280
Inárcs,3777,3082,3050,1155,1602
Ipacsfa,160,136,136,74,52
Ipolydamásd,327,250,249,117,119
Ipolyszög,428,319,316,127,135
Ipolytarnóc,297,195,193,118,61
Ipolytölgyes,194,151,151,77,65
Ipolyvece,608,441,438,251,138
Iregszemcse,1915,1399,1389,522,736
Irota,62,51,51,18,27
Isaszeg,8999,7219,7182,2678,3846
Ispánk,78,71,71,35,25
Istenmezeje,1092,858,848,354,418
Istvándi,365,200,197,129,60
Iszkaszentgyörgy,1806,1511,1508,457,893
Iszkáz,280,213,212,141,53
Isztimér,725,615,610,221,299
Ivád,264,216,212,103,90
Iván,929,700,698,357,290
Ivánbattyán,79,62,59,27,21
Ivánc,370,290,286,158,97
Iváncsa,2172,1708,1703,672,903
Ivándárda,157,127,126,42,74
Izmény,333,242,241,130,84
Izsák,4443,3316,3298,1564,1445
Izsófalva,1221,844,841,385,393
Jakabszállás,2129,1720,1703,763,771
Jenő,1040,777,770,361,348
Jobaháza,414,327,323,182,120
Jobbágyi,1498,1090,1069,458,473
Juta,927,763,759,256,431
Jágónak,170,126,124,69,49
Ják,2052,1713,1707,659,898
Jákfa,402,329,326,137,166
Jákfalva,377,259,248,133,80
Jákó,466,337,334,175,137
Jánd,573,429,418,240,153
Jánkmajtis,1283,949,949,572,302
Jánoshalma,6424,4525,4498,1678,2382
Jánoshida,1901,1425,1408,600,696
Jánosháza,1842,1312,1307,573,638
Jánossomorja,4636,3715,3696,1830,1527
Járdánháza,1230,748,717,370,287
Jármi,974,751,750,377,326
Jásd,556,469,465,220,191
Jászalsószentgyörgy,2659,2029,2015,956,916
Jászapáti,6175,4547,4489,2058,2079
Jászberény,21582,17676,17534,5585,10569
Jászboldogháza,1353,1135,1128,477,523
Jászdózsa,1675,1297,1286,528,656
Jászfelsőszentgyörgy,1376,990,946,413,400
Jászfényszaru,4510,3420,3400,1600,1501
Jászivány,282,230,229,110,100
Jászjákóhalma,2222,1658,1640,760,760
Jászkarajenő,2004,1389,1348,655,586
Jászkisér,3789,2587,2540,1193,1107
Jászladány,3955,2485,2454,1488,771
Jászszentandrás,1969,1566,1561,628,791
Jászszentlászló,1940,1520,1513,636,731
Jásztelek,1149,850,834,391,367
Jászágó,559,424,424,180,197
Jászárokszállás,5810,4490,4459,1791,2275
Jéke,573,445,439,158,248
Jósvafő,201,172,172,77,80
Kaba,4384,3193,3170,1500,1352
Kacorlak,156,127,123,55,62
Kacsóta,205,162,157,44,77
Kadarkút,1846,1331,1319,673,557
Kajdacs,808,548,539,246,267
Kajárpéc,1016,810,804,378,354
Kajászó,980,810,807,327,408
Kakasd,1272,1068,1057,575,367
Kakucs,2426,1932,1920,787,941
Kalaznó,98,70,70,39,20
Kallósd,68,54,54,33,16
Kalocsa,13963,11561,11471,3123,7460
Kamond,268,196,196,128,62
Kamut,764,623,620,264,284
Kapolcs,321,271,271,108,151
Kapoly,484,347,339,165,147
Kaposfő,1194,951,943,374,480
Kaposgyarmat,74,62,62,22,33
Kaposhomok,351,220,218,95,108
Kaposkeresztúr,226,152,149,88,44
Kaposmérő,1859,1541,1532,625,773
Kapospula,649,511,508,228,234
Kaposszekcső,1209,853,849,332,426
Kaposszerdahely,791,619,613,224,330
Kaposvár,48445,38908,38752,12771,22858
Kaposújlak,547,468,463,142,286
Kapuvár,7737,6451,6411,2931,2953
Karakó,156,126,125,59,53
Karakószörcsök,210,163,159,95,50
Karancsalja,1122,865,864,328,445
Karancsberény,635,505,501,204,250
Karancskeszi,1309,873,869,460,332
Karancslapujtő,1915,1437,1433,699,605
Karancsság,894,577,568,369,168
Karcag,17283,13659,13580,5365,7245
Karcsa,1271,844,828,366,419
Kardos,422,318,313,145,136
Kardoskút,614,473,471,157,262
Karmacs,540,433,431,238,166
Karos,369,263,261,144,93
Kartal,4671,3848,3832,1606,1883
Karácsond,2280,1727,1718,689,860
Karád,1063,777,773,432,286
Kaskantyú,737,566,550,298,211
Kastélyosdombó,134,87,86,51,30
Kaszaper,1354,1032,1027,384,562
Kaszó,75,59,59,24,27
Katafa,269,234,233,133,73
Katymár,1263,804,795,396,339
Katádfa,98,82,81,48,25
Kazincbarcika,21670,16703,16590,4146,11044
Kazsok,213,165,163,127,32
Kazár,1329,902,889,417,400
Kecel,6200,4729,4646,2033,2099
Kecskemét,80093,64973,64704,20939,38503
Kecskéd,1612,1329,1322,478,672
Kehidakustány,899,717,714,343,297
Kelebia,1889,1309,1299,563,565
Kelemér,335,229,225,128,90
Kelevíz,253,172,168,87,72
Keléd,69,61,61,32,29
Kemecse,3619,2800,2773,1344,1238
Kemence,721,549,541,276,218
Kemendollár,364,275,274,114,134
Kemeneshőgyész,359,279,275,149,115
Kemeneskápolna,75,58,57,30,20
Kemenesmagasi,677,525,523,287,187
Kemenesmihályfa,397,313,312,159,127
Kemenespálfa,318,241,241,133,82
Kemenesszentmárton,159,119,118,60,51
Kemenesszentpéter,503,389,388,222,128
Kemenessömjén,402,352,350,177,144
Kemestaródfa,178,150,149,80,56
Kemse,45,41,41,24,16
Keménfa,63,53,53,27,25
Kenderes,3195,2186,2157,1180,805
Kengyel,2637,1941,1928,826,918
Kenyeri,656,549,547,315,189
Kenéz,210,170,167,99,55
Kenézlő,867,539,538,259,243
Kercaszomor,172,144,143,63,55
Kercseliget,257,174,167,69,79
Kerecsend,1558,1120,1115,719,358
Kerecseny,185,103,100,62,33
Kerekegyháza,4941,3903,3885,1694,1818
Kerekharaszt,756,633,630,251,303
Kereki,433,339,338,136,159
Kerepes,8738,7355,7322,2351,4323
Keresztéte,31,29,27,7,17
Kerkabarabás,222,172,172,90,65
Kerkafalva,102,93,93,50,23
Kerkakutas,90,80,80,48,29
Kerkaszentkirály,168,142,140,61,60
Kerkateskánd,130,109,108,47,47
Kerkáskápolna,58,45,45,32,9
Kerta,408,300,300,189,90
Kertészsziget,268,192,191,90,89
Kerékteleki,511,381,376,168,176
Keszeg,592,506,506,252,186
Kesznyéten,1293,843,827,499,243
Keszthely,17566,14834,14778,5250,8376
Kesztölc,2159,1696,1692,563,972
Keszü,1100,943,943,272,577
Keszőhidegkút,141,108,106,50,22
Kevermes,1219,847,829,416,340
Kilimán,164,128,125,59,58
Kimle,1759,1448,1430,636,621
Kincsesbánya,1147,942,940,385,476
Királd,531,349,349,139,179
Királyegyháza,691,487,485,213,229
Királyhegyes,458,366,365,173,156
Királyszentistván,365,295,295,103,167
Kisapostag,1204,1010,1007,329,576
Kisapáti,275,220,218,106,85
Kisar,726,509,502,295,180
Kisasszond,124,92,90,33,50
Kisasszonyfa,147,113,105,49,42
Kisbabot,190,157,156,78,61
Kisbajcs,701,605,603,227,321
Kisbajom,260,175,172,91,72
Kisberzseny,76,52,51,19,23
Kisberény,109,80,78,35,26
Kisbeszterce,59,46,46,21,23
Kisbodak,271,236,235,96,116
Kisbucsa,351,295,293,135,136
Kisbudmér,62,46,46,19,22
Kisbágyon,325,251,251,97,118
Kisbárapáti,271,186,183,82,83
Kisbárkány,128,115,114,71,31
Kisbér,4227,3273,3251,1403,1620
Kiscsehi,142,127,126,64,52
Kiscsécs,129,88,85,55,9
Kiscsősz,83,69,69,38,23
Kisdobsza,185,133,129,75,49
Kisdombegyház,318,213,210,113,83
Kisdorog,534,407,404,220,128
Kisdér,106,79,78,35,36
Kisecset,166,126,126,58,49
Kisfalud,579,503,499,281,178
Kisfüzes,105,88,87,28,44
Kisgyalán,143,105,105,56,45
Kisgyőr,1228,898,887,352,415
Kisgörbő,138,100,97,44,51
Kishajmás,141,91,88,40,42
Kisharsány,372,281,281,123,145
Kishartyán,417,341,339,128,169
Kisherend,171,130,130,67,51
Kishuta,212,177,177,57,107
Kishódos,46,42,42,23,17
Kisigmánd,378,303,303,129,163
Kisjakabfalva,78,46,46,26,19
Kiskassa,187,148,145,52,62
Kiskinizs,250,185,184,90,83
Kiskorpád,663,480,476,214,223
Kiskunfélegyháza,24502,19454,19363,6818,11120
Kiskunhalas,22806,17695,17528,6129,9620
Kiskunlacháza,7456,5685,5655,2186,2963
Kiskunmajsa,8334,6102,6048,2659,2854
Kiskutas,151,126,125,54,59
Kisköre,1967,1332,1329,581,640
Kiskőrös,10520,8535,8487,4106,3555
Kislippó,222,155,151,54,88
Kisláng,1853,1312,1299,715,459
Kisléta,1145,854,844,375,437
Kislőd,956,726,712,293,312
Kismarja,956,629,622,440,143
Kismaros,1996,1771,1762,562,984
Kismányok,269,217,217,77,96
Kisnamény,228,134,131,86,38
Kisnyárád,120,96,92,22,32
Kisnána,756,534,531,218,261
Kisnémedi,561,471,467,173,255
Kisoroszi,798,688,686,272,347
Kispalád,446,294,287,195,61
Kispirit,58,43,43,28,12
Kispáli,226,187,186,90,82
Kisrozvágy,148,91,91,47,35
Kisrákos,133,124,122,71,37
Kisrécse,124,91,91,49,37
Kissikátor,226,190,189,61,113
Kissomlyó,183,153,153,53,79
Kisszekeres,425,293,292,158,111
Kisszentmárton,166,117,113,66,33
Kissziget,114,84,83,58,21
Kisszállás,1806,1312,1306,583,547
Kisszékely,229,175,170,107,52
Kisszőlős,89,60,59,46,10
Kistamási,94,59,55,34,13
Kistapolca,155,125,125,59,61
Kistarcsa,10330,8855,8823,2768,5358
Kistelek,5686,4412,4402,1566,2487
Kistokaj,1806,1531,1528,420,975
Kistolmács,118,83,83,48,30
Kistormás,229,152,151,84,53
Kistótfalu,244,195,194,80,99
Kisunyom,362,319,319,145,149
Kisvarsány,771,547,536,272,229
Kisvaszar,225,142,133,71,40
Kisvejke,267,214,207,79,57
Kisvárda,15062,12402,12297,3868,7680
Kisvásárhely,53,43,43,27,12
Kiszombor,3018,2295,2288,825,1267
Kiszsidány,75,67,67,22,31
Kisújszállás,7903,5875,5830,2451,2793
Klárafalva,401,298,295,117,147
Kocs,2053,1691,1684,808,704
Kocsola,883,601,596,277,261
Kocsord,2141,1543,1527,767,582
Kocsér,1424,1097,1088,542,457
Kokad,482,307,304,200,79
Kolontár,540,410,406,173,200
Komjáti,110,91,91,44,45
Komló,18614,13351,13199,4096,7877
Komlódtótfalu,116,85,84,56,16
Komlósd,139,112,111,56,45
Komlóska,177,152,150,52,86
Komoró,971,668,663,319,301
Kompolt,1425,996,988,362,508
Komádi,3777,2513,2479,1213,1063
Komárom,16592,13882,13811,4847,7728
Kondorfa,382,321,321,181,109
Kondoros,3696,2828,2813,1067,1507
Kondó,439,340,338,125,178
Konyár,1578,927,908,526,300
Koppányszántó,238,167,167,105,42
Korlát,228,178,171,77,86
Koroncó,1986,1610,1605,659,822
Kosd,1989,1648,1638,769,740
Kovácshida,180,133,133,64,60
Kovácsszénája,46,40,40,13,22
Kovácsvágás,450,278,275,157,101
Kozmadombja,29,28,26,15,9
Kozárd,125,111,111,60,31
Kozármisleny,5063,4367,4291,1284,2661
Krasznokvajda,290,205,200,116,73
Kulcs,2934,2359,2350,762,1402
Kunadacs,1096,837,830,443,316
Kunbaja,1115,720,714,303,347
Kunbaracs,527,404,401,198,165
Kuncsorba,444,334,332,158,141
Kunfehértó,1755,1401,1393,462,765
Kunhegyes,5475,3780,3747,1853,1619
Kunmadaras,3680,2352,2333,1258,865
Kunpeszér,618,497,497,225,225
Kunszentmiklós,6232,4837,4796,2542,1864
Kunszentmárton,5897,4312,4254,1615,2164
Kunsziget,1102,973,969,357,528
Kunszállás,1369,1119,1115,424,596
Kunágota,1851,1214,1211,597,502
Kup,352,273,266,105,114
Kupa,119,91,91,64,21
Kurd,831,563,551,237,250
Kurityán,1111,799,792,265,437
Kustánszeg,371,290,285,140,134
Kutas,984,664,657,352,260
Kutasó,68,54,52,24,26
Kács,405,326,325,151,153
Kákics,155,110,108,63,41
Kál,2621,1833,1819,767,919
Káld,797,618,616,259,296
Kálló,1055,662,649,357,214
Kállósemjén,2819,2027,2012,915,969
Kálmáncsa,391,257,252,147,93
Kálmánháza,1417,1088,1081,492,485
Káloz,1840,1396,1374,722,524
Kálócfa,103,89,88,47,38
Kám,361,299,299,152,127
Kántorjánosi,1526,950,930,657,233
Kány,45,37,37,18,19
Kánya,343,219,216,119,77
Kányavár,88,72,68,40,16
Kánó,120,103,102,56,41
Kápolna,1097,810,798,367,330
Kápolnásnyék,3192,2721,2705,948,1515
Káptalanfa,614,453,449,202,213
Káptalantóti,386,330,328,138,162
Kára,42,32,32,20,12
Károlyháza,427,336,334,193,129
Kárász,247,187,185,69,96
Kásád,206,154,148,72,50
Kátoly,240,185,180,67,71
Káva,512,426,406,136,236
Kávás,188,159,157,66,74
Kázsmárk,694,449,430,239,153
Kék,1480,1008,994,526,394
Kékcse,1049,761,751,444,278
Kéked,112,76,76,36,36
Kékesd,140,104,103,52,42
Kékkút,47,41,41,16,22
Kéleshalom,326,213,213,87,97
Kémes,349,277,275,126,132
Kérsemjén,231,180,174,108,61
Kétbodony,371,311,310,154,121
Kétegyháza,2715,1981,1959,678,1026
Kéthely,1576,1195,1192,557,554
Kétpó,492,398,397,138,235
Kétsoprony,986,812,782,360,344
Kétvölgy,87,72,72,34,30
Kéty,512,412,410,182,181
Kétújfalu,510,382,374,159,179
Kóka,3633,2723,2707,1112,1293
Kóny,2154,1800,1794,748,895
Kópháza,1616,1416,1413,560,709
Kórós,147,90,88,50,26
Kóspallag,576,483,482,185,216
Kótaj,3534,2599,2583,1178,1235
Köblény,149,109,109,52,44
Köcsk,223,184,183,103,61
Kökény,524,427,427,102,278
Kölcse,987,729,725,395,287
Kölesd,1034,750,747,399,300
Kölked,796,508,501,289,167
Kömlő,1318,840,781,351,191
Kömlőd,837,666,665,259,358
Kömpöc,537,423,421,220,157
Kömörő,410,295,289,151,119
Körmend,10440,8998,8961,3860,4459
Környe,3775,2996,2983,1018,1662
Köröm,851,480,468,330,108
Körösladány,3172,2397,2380,1073,1107
Körösnagyharsány,410,270,266,149,92
Körösszakál,544,357,353,179,130
Körösszegapáti,748,518,510,253,188
Köröstarcsa,1841,1357,1353,593,628
Körösújfalu,313,190,184,108,60
Kötcse,387,299,298,138,129
Kötegyán,1049,751,734,419,253
Kövegy,262,203,202,106,75
Köveskál,261,218,217,113,82
Kübekháza,1144,855,844,274,473
Külsősárd,54,48,48,27,19
Külsővat,548,418,410,208,174
Küngös,413,333,332,143,144
Kőkút,389,213,210,146,37
Kőröshegy,1134,885,881,367,445
Kőröstetétlen,640,529,512,252,231
Kőszeg,8716,7187,7159,2911,3658
Kőszegdoroszló,230,202,202,86,86
Kőszegpaty,158,129,128,82,34
Kőszegszerdahely,448,380,379,164,184
Kőszárhegy,1300,1067,1059,344,593
Kőtelek,1150,828,822,483,284
Kővágószőlős,1113,835,812,254,434
Kővágótöttös,262,197,195,89,90
Kővágóörs,510,407,406,166,208
Lad,436,281,281,146,122
Ladánybene,1352,1001,992,469,427
Lajoskomárom,1633,1267,1260,530,591
Lajosmizse,8835,6594,6545,2957,2927
Lak,424,335,320,247,60
Lakhegy,362,306,305,158,123
Lakitelek,3844,3019,3003,1290,1447
Lakócsa,394,231,227,129,73
Lapáncsa,137,106,106,56,40
Laskod,684,500,487,206,266
Lasztonya,44,34,34,12,19
Legyesbénye,1079,816,806,277,473
Legénd,365,278,275,138,108
Lendvadedes,32,26,26,12,9
Lendvajakabfa,38,26,26,8,14
Lengyel,352,273,270,101,123
Lengyeltóti,2228,1640,1628,742,741
Lenti,5645,4767,4739,1982,2453
Lepsény,2414,1817,1808,808,795
Lesencefalu,240,188,188,71,101
Lesenceistvánd,747,574,573,250,257
Lesencetomaj,722,526,525,246,234
Letenye,3045,2289,2260,945,1095
Letkés,846,703,678,316,276
Levelek,2185,1570,1554,637,797
Levél,1836,1488,1475,509,813
Leányfalu,3092,2661,2649,915,1509
Leányvár,1417,1141,1133,406,588
Libickozma,23,18,18,9,7
Lickóvadamos,150,122,122,55,60
Liget,274,219,208,67,109
Ligetfalva,47,38,38,18,15
Lippó,374,295,283,86,118
Liptód,128,87,86,31,18
Lipót,650,534,531,247,259
Lispeszentadorján,199,148,148,71,63
Liszó,301,236,236,76,135
Litka,29,26,26,9,15
Litke,549,409,402,275,100
Litér,1739,1435,1432,473,858
Lothárd,211,165,165,67,87
Lovas,436,378,378,152,190
Lovasberény,2201,1797,1791,788,863
Lovászhetény,226,154,153,71,69
Lovászi,881,669,662,214,365
Lovászpatona,910,669,664,396,216
Lucfalva,448,346,333,181,96
Ludas,570,432,431,192,207
Ludányhalászi,970,620,614,340,215
Lukácsháza,855,755,752,341,340
Lulla,150,126,124,59,59
Lábatlan,3818,2941,2925,1044,1617
Lábod,1376,1003,995,524,395
Lácacséke,193,100,96,53,35
Ládbesenyő,199,163,163,87,63
Lánycsók,1896,1432,1416,598,560
Lápafő,99,71,71,43,26
Látrány,1059,820,814,394,356
Lázi,415,311,308,135,151
Lébény,2486,2045,2032,907,950
Léh,310,198,194,119,53
